"atlas_rank","id","name","institution","research_area","research_influence_index","citations","h_index","citations_to_2023_2025_publications","indexed_works","identity_status","openalex_author","profile_source","snapshot_date"
"102","andrew-huth","Alexander G. Huth","University of California, Berkeley","compute","31.3","6999","26","621","97","verified","https://openalex.org/A5077310477","https://vision.berkeley.edu/people/alexander-huth","2026-09-15"
"103","yukiyasu-kamitani","Yukiyasu Kamitani","Kyoto University / ATR Computational Neuroscience Laboratories","compute","31.2","10142","37","113","262","verified","https://openalex.org/A5078484869","https://www.i.kyoto-u.ac.jp/en/faculty/professor/","2026-09-15"
"104","scott-linderman","Scott Linderman","Stanford University","compute","30.7","3254","31","1019","136","verified","https://openalex.org/A5054079047","https://web.stanford.edu/~swl1/","2026-09-15"
"105","max-ortiz-catalan","Max Ortiz-Catalan","Prometi Pain Rehabilitation Center / Remedi Ukraine (2026 publication affiliations)","restore","30.6","4790","34","532","187","verified","https://openalex.org/A5062966636","https://www.maxortizcatalan.com/research","2026-09-15"
"106","robert-gaunt","Robert Gaunt","University of Pittsburgh","restore","28.9","4532","33","429","137","verified","https://openalex.org/A5077889991","https://www.rnel.pitt.edu/people/robert-gaunt","2026-09-15"
"107","cynthia-chestek","Cynthia Chestek","University of Michigan","restore","28.6","5097","37","285","186","verified","https://openalex.org/A5037880597","https://chestekresearch.engin.umich.edu/","2026-09-15"
"108","michel-maharbiz","Michel Maharbiz","University of California, Berkeley","record","27.7","6564","40","144","200","verified","https://openalex.org/A5039854529","https://maharbiz.com/","2026-09-15"
"109","rylie-green","Rylie Green","Imperial College London","record","27.1","5186","36","198","120","verified","https://openalex.org/A5009901504","https://profiles.imperial.ac.uk/rylie.green","2026-09-15"
"110","florian-solzbacher","Florian Solzbacher","University of Utah / Blackrock Neurotech (co-founder)","record","26.9","7045","41","77","198","verified","https://openalex.org/A5079803960","https://www.price.utah.edu/2024/07/25/brain-trust-a-qa-with-florian-solzbacher","2026-09-15"
"111","maryam-shanechi","Maryam Shanechi","University of Southern California","compute","25","3497","31","382","116","verified","https://openalex.org/A5062569186","https://viterbi.usc.edu/directory/faculty/Shanechi/Maryam","2026-09-15"
"111","nathan-intrator","Nathan Intrator","Tel Aviv University","compute","25","6926","42","23","218","verified","https://openalex.org/A5029500893","https://en-sagol.tau.ac.il/people/faculty","2026-09-15"
"113","gopala-anumanchipalli","Gopala Anumanchipalli","University of California, Berkeley","compute","23.9","3184","16","869","89","verified","https://openalex.org/A5068922218","https://spherelab.berkeley.edu/","2026-09-15"
"114","shigeyoshi-fujisawa","Shigeyoshi Fujisawa","RIKEN Center for Brain Science","record","22.5","7220","28","81","65","verified","https://openalex.org/A5043580794","https://www.riken.jp/en/research/labs/cbs/circuit_behav_phys/","2026-09-15"
"115","jonathan-viventi","Jonathan Viventi","Duke University","record","22.1","6650","23","151","93","verified","https://openalex.org/A5071960014","https://viventi.pratt.duke.edu/","2026-09-15"
"116","luca-berdondini","Luca Berdondini","Italian Institute of Technology / Corticale (2021 account)","record","21.1","4406","34","90","178","verified","https://openalex.org/A5088983421","https://opentalk.iit.it/en/corticale-the-new-iit-start-up-to-study-and-treat-brain/","2026-09-15"
"117","brenton-hordacre","Brenton Hordacre","Adelaide University","stimulate","20.7","2896","29","316","119","verified","https://openalex.org/A5046785599","https://researchers.adelaide.edu.au/profile/brenton.hordacre","2026-09-15"
"118","valentin-dragoi","Valentin Dragoi","Rice University / Houston Methodist","compute","20.4","3719","29","149","88","verified","https://openalex.org/A5046743545","https://profiles.rice.edu/faculty/valentin-dragoi","2026-09-15"
"119","sridevi-sarma","Sridevi Sarma","Johns Hopkins University","compute","20.2","3156","28","265","231","verified","https://openalex.org/A5088809750","https://www.bme.jhu.edu/faculty_staff/sridevi-sarma/","2026-09-15"
"120","eduardo-moraud","Eduardo Martín Moraud","EPFL Neuro-X Institute","stimulate","18.9","4486","21","183","55","verified","https://openalex.org/A5069196546","https://neuro-x.epfl.ch/en/contact/","2026-09-15"
"121","jennifer-chandler","Jennifer Chandler","University of Ottawa","personal","18.4","2077","22","432","170","verified","https://openalex.org/A5080481788","https://www.uottawa.ca/faculty-law/civil-law/people/chandler-jennifer","2026-09-15"
"122","jose-zariffa","José Zariffa","University of Toronto","restore","18.3","2511","27","314","178","verified","https://openalex.org/A5048203934","https://bme.utoronto.ca/faculty-research/core-faculty/jose-zariffa/","2026-09-15"
"123","kristofer-bouchard","Kristofer Bouchard","Lawrence Berkeley National Laboratory","compute","18.1","2854","23","325","124","verified","https://openalex.org/A5040319820","https://biosciences.lbl.gov/profiles/kristofer-e-bouchard/","2026-09-15"
"123","laura-cabrera","Laura Cabrera","Penn State University","personal","18.1","1847","24","394","151","verified","https://openalex.org/A5061267578","https://philosophy.la.psu.edu/people/laura-cabrera/","2026-09-15"
"125","simon-schultz","Simon Schultz","Imperial College London","record","17.7","3728","34","14","199","verified","https://openalex.org/A5033931489","https://profiles.imperial.ac.uk/s.schultz","2026-09-15"
"126","lee-fisher","Lee Fisher","University of Pittsburgh","restore","17.2","2033","21","429","141","verified","https://openalex.org/A5029708385","https://www.rnel.pitt.edu/people/lee-fisher","2026-09-15"
"127","lan-luan","Lan Luan","Rice University","record","16.2","2925","23","170","102","verified","https://openalex.org/A5014103056","https://luanlab.rice.edu/","2026-09-15"
"127","moritz-grosse-wentrup","Moritz Grosse-Wentrup","University of Vienna","compute","16.2","4013","28","25","155","verified","https://openalex.org/A5040565095","https://ucrisportal.univie.ac.at/de/persons/moritz-grosse-wentrup/","2026-09-15"
"129","jeremy-magland","Jeremy Magland","Simons Foundation / Flatiron Institute","compute","16.1","3675","30","24","133","verified","https://openalex.org/A5042248436","https://www.simonsfoundation.org/people/jeremy-magland/","2026-09-15"
"130","rikky-muller","Rikky Muller","University of California, Berkeley","record","15","2992","22","144","118","verified","https://openalex.org/A5009955932","https://muller.eecs.berkeley.edu/","2026-09-15"
"131","nicholas-opie","Nicholas Opie","University of Melbourne / Synchron","record","13.7","2267","20","239","65","verified","https://openalex.org/A5053206239","https://medicine.unimelb.edu.au/research-groups/medicine-research/royal-melbourne-hospital/the-vascular-bionics-laboratory","2026-09-15"
